Word,Frequency
"'care',",671
"'america',",670
"'border',",661
"'januari',",659
"'document',",658
"'develop',",658
"'name',",657
"['us',",656
"'known',",655
"'overhaul',",653
"'point',",653
"'climat',",653
"'invest',",652
"'target',",649
"'march',",648
"'local',",646
"'manag',",644
"'mexico',",643
"'start',",643
"'district',",643
"'address',",638
"'sunday',",637
"'enforc',",634
"'speak',",627
"'oper',",621
"'team',",620
"'long',",619
"'leav',",619
"'wrote',",615
"'war',",609
"'thing',",608
"'might',",607
"'south',",604
"'involv',",601
"'nomin',",601
"'moor',",599
"'role',",596
"'incom',",594
"'brief',",593
"'term',",593
"'cite',",592
"'air',",592
"'collus',",591
"'commit',",591
"'mean',",590
"'spokeswoman',",588
"'chines',",585
"'becom',",585
"'illeg',",583
"'texa',",583
"'stop',",580
"'fiscal',",576
"'press',",576
"'final',",575
"'manafort',",575
"'base',",572
"'project',",567
"'reach',",567
"'famili',",565
"'treasuri',",565
"'far',",564
"'confer',",563
"'seen',",562
"'came',",561
"'view',",561
"'big',",559
"'organ',",559
"'larg',",558
"'earli',",558
"'putin',",558
"'least',",557
"'yet',",555
"'receiv',",555
"'refuge',",554
"'detail',",551
"'express',",551
"'lower',",549
"'appeal',",546
"'reduc',",545
"'return',",545
"'home',",545
"'payment',",544
"'differ',",543
"'benefit',",539
"'suggest',",539
"'decid',",539
"'threat',",538
"'addit',",538
"'consum',",533
"'argu',",532
"'pressur',",532
"'meddl',",532
"'economi',",532
"'global',",531
"'deficit',",529
"'deduct',",529
"'find',",525
"'other',",524
"'cooper',",523
"'price',",523
"'met',",522
"'share',",520
"'favor',",519
"'vice',",518
"'four',",518
"'great',",515
"'violat',",515
"'claim',",515
"'robert',",514
"'record',",514
"'side',",513
"'level',",513
"'juli',",512
"'aim',",510
"'six',",510
"'futur',",510
"'council',",510
"'resign',",508
"'product',",502
"'warn',",501
"'credit',",501
"'restrict',",498
"'howev',",497
'said'],496
"'gorsuch',",493
"'defend',",490
"'center',",489
"'june',",488
"'mnuchin',",487
"'initi',",486
"'california',",485
"'region',",484
"'condit',",484
"'afford',",483
"'independ',",483
"'relationship',",483
"'un',",483
"'school',",481
"'key',",481
"'appoint',",480
"'past',",480
"'build',",480
"'expert',",478
"'contact',",478
"'speaker',",477
"'late',",475
"'april',",475
"'ambassador',",475
"'univers',",472
"'kushner',",470
"'women',",469
"'direct',",467
"'jame',",467
"'held',",465
"'around',",464
"'never',",464
"'littl',",463
"'penc',",463
"'despit',",463
"'left',",463
"'debat',",462
"'bring',",462
"'nomine',",462
"'less',",461
"'commiss',",461
"'done',",460
"'xi',",459
"'data',",456
"'found',",455
"'enough',",455
"'note',",455
"'test',",454
"'human',",454
"'nearli',",453
"'version',",453
"'list',",453
"'decad',",451
"'medicaid',",451
"'refer',",450
"'strike',",450
"'children',",449
"'kill',",449
"'weapon',",448
"'growth',",444
"'opposit',",444
"'virginia',",444
"'forward',",442
"'toward',",442
"'separ',",441
"'trip',",440
"'ahead',",439
"'mark',",438
"'bipartisan',",438
"'prevent',",438
"'mike',",438
"'area',",438
"'begin',",438
"'line',",437
"'due',",436
"'conduct',",435
"'revenu',",435
"'agenda',",435
"'race',",434
"'full',",431
"'evid',",430
"'high',",429
"'financ',",428
"'activ',",428
"'seat',",427
"'deputi',",426
"'messag',",426
"'oil',",425
"'join',",424
"'korean',",423
"'result',",423
"'problem',",422
"'speech',",422
"'convers',",421
"'pari',",421
"'saturday',",421
"'turn',",419
"'access',",418
"'event',",417
"'union',",417
"'worker',",417
"'influenc',",416
"'free',",416
"'resolut',",415
"'fellow',",415
"'beij',",414
"'dollar',",413
"'impos',",413
"'caus',",412
"'remov',",411
"'bureau',",411
"'elimin',",410
"'risk',",409
"'given',",407
"'impact',",406
"'demand',",405
"'attempt',",404
"'lawsuit',",404
"'novemb',",403
"'taken',",403
"'michael',",403
"'provis',",403
"'abl',",402
"'chamber',",402
"'happen',",402
"'sent',",402
"'hillari',",402
"'sought',",401
"'five',",401
"'crisi',",400
"'environment',",400
"'better',",400
"'play',",399
"'interfer',",398
"'fed',",398
"'soon',",397
"'complet',",397
"'protest',",397
"'delay',",396
"'advanc',",396
"'corker',",395
"'latest',",395
"'social',",394
"'civil',",393
"'street',",393
"'nafta',",392
"'let',",392
"'threaten',",389
"'edt',",389
"'technolog',",389
"'along',",388
"'though',",386
"'trillion',",385
"'hand',",385
"'led',",384
"'emerg',",384
"'visa',",384
"'sexual',",384
"'tell',",383
"'estim',",383
"'constitut',",383
"'polic',",381
"'everi',",380
"'mccain',",379
"'facebook',",379
"'ga',",379
"'prosecutor',",378
"'remark',",378
"'expand',",376
"'strategi',",376
"'reason',",376
"'lose',",375
"'assist',",375
"'pledg',",375
"'victori',",374
"'within',",374
"'lot',",374
"'boost',",373
"'chair',",373
"'alabama',",372
"'someth',",371
"'stand',",371
"'option',",370
"'send',",369
"'testifi',",367
"'conflict',",367
"'realli',",365
"'second',",365
"'bannon',",364
"'epa',",364
"'outsid',",363
"'capit',",361
"'describ',",361
"'strong',",361
"'away',",360
"'launch',",359
"'stay',",359
"'analyst',",358
"'affect',",357
"'packag',",356
"'schumer',",356
"'poll',",356
"'exchang',",356
"'prioriti',",355
"'goal',",355
"'whose',",355
"'prepar',",355
"'fuel',",355
"'togeth',",354
"'today',",353
"'crimin',",353
"'avoid',",352
"'jr',",352
"'employe',",352
"'short',",350
"'sander',",350
"'live',",350
"'amend',",350
"'disput',",349
"'focus',",349
"'previous',",349
"'matti',",349
"'florida',",348
"'islam',",348
"'focu',",347
"'real',",346
"'intend',",346
"'carri',",346
"'gain',",345
"'subsidi',",345
"'attend',",345
"'arm',",345
"'approach',",345
"'corp',",345
"'familiar',",344
"'ensur',",343
"'determin',",343
"'main',",343
"'although',",342
"'improv',",342
"'board',",342
"'cover',",341
"'sale',",341
"'institut',",340
"'form',",339
"'peac',",339
"'syrian',",339
"'afghanistan',",338
"'standard',",338
"'european',",337
"'middl',",336
"'schedul',",336
"'reject',",335
"'partner',",334
"'break',",333
"'mitch',",333
"'hit',",333
"'drop',",333
"'refus',",332
"'small',",332
"'grant',",332
"'coverag',",332
"'confid',",332
"'leadership',",331
"'similar',",331
"'septemb',",330
"'puerto',",330
"'retir',",330
"'freedom',",329
"'dismiss',",329
"'canada',",328
"'rex',",328
"'muslim',",327
"'central',",327
"'nato',",327
"'ago',",326
"'pyongyang',",323
"'citizen',",322
"'idea',",321
"'spoke',",321
"'export',",321
"'infrastructur',",320
"'progress',",319
"'vehicl',",318
"'hard',",318
"'transgend',",318
"'bar',",317
"'total',",316
"'crime',",316
"'enter',",315
"'hour',",315
"'spicer',",315
"'prime',",315
"'testimoni',",314
"'jeff',",314
"'instead',",313
"'certain',",312
"'moder',",312
"'code',",311
"'homeland',",311
"'coal',",311
"'internet',",311
"'exist',",310
"'link',",310
"'vow',",309
"'signific',",309
"'februari',",309
"'deliv',",308
"'worri',",308
"'repeatedli',",308
"'implement',",308
"'rico',",308
"'stock',",307
"'renew',",307
"'properti',",306
"'commerc',",306
"'research',",305
"'higher',",305
"'buy',",305
"'ralli',",304
"'withdraw',",304
"'produc',",302
"'daca',",302
"'disclos',",302
"'stori',",302
"'practic',",302
"'grow',",302
"'achiev',",301
"'accept',",301
"'tension',",301
"'annual',",300
"'summit',",300
"'seven',",299
"'cnn',",299
"'pentagon',",298
"'collin',",298
"'advoc',",298
"'behind',",298
"'manufactur',",296
"'across',",296
"'damag',",296
"'illinoi',",296
"'amid',",295
"'studi',",295
"'brought',",294
"'introduc',",294
"'chicago',",294
"'kelli',",294
"'largest',",293
"'dreamer',",293
"'formal',",293
"'cyber',",293
"'anonym',",292
"'hurrican',",292
"'specif',",292
"'georg',",292
"'bush',",292
"'fact',",291
"'lobbi',",291
"'blame',",290
"'abil',",290
"'got',",290
"'phone',",290
"'island',",289
"'biggest',",288
"'opinion',",288
"'medic',",288
"'design',",288
"'hack',",288
"'success',",287
"'previou',",287
"'judiciari',",287
"'often',",286
"'ground',",283
"'expens',",283
"'son',",283
"'handl',",281
"'employ',",281
"'counti',",281
"'ministri',",281
"'paid',",280
"'drug',",280
"'best',",280
"'mandat',",280
"'websit',",280
"'date',",280
"'defeat',",279
"'august',",279
"'sept',",279
"'domest',",279
"'cohn',",278
"'east',",278
"'hire',",278
"'memo',",277
"'publicli',",277
"'fox',",276
"'low',",276
"'noth',",276
"'pick',",276
"'agent',",276
"'network',",276
"'draft',",275
"'dozen',",275
"'jan',",275
"'ukrain',",275
"'amount',",273
"'safeti',",272
"'unveil',",271
"'joint',",270
"'jersey',",270
"'japan',",270
"'jone',",269
"'shutdown',",269
"'prais',",269
"'israel',",269
"'rather',",268
"'troop',",268
"'object',",268
"'statu',",268
"'lobbyist',",268
"'appropri',",268
"'affair',",267
"'answer',",267
"'decemb',",267
"'shift',",267
"'engag',",265
"'violenc',",265
"'period',",264
"'richard',",264
"'chanc',",264
"'respect',",264
"'cuba',",264
"'capitol',",263
"'taxpay',",263
"'regulatori',",263
"'chuck',",262
"'becam',",262
"'leak',",262
"'roll',",262
"'investor',",262
"'quickli',",261
"'cap',",261
"'subpoena',",261
"'lost',",261
"'enact',",260
"'co',",258
"'subject',",257
"'opportun',",257
"'san',",257
"'reserv',",257
"'caucu',",256
"'ethic',",256
"'situat',",256
"'add',",255
"'rise',",255
"'controversi',",255
"'cfpb',",255
"'appli',",254
"'milit',",254
"'gave',",253
"'estat',",252
"'hurt',",252
"'televis',",252
"'chemic',",252
"'difficult',",252
"'thousand',",252
"'voic',",252
"'ross',",251
"'welcom',",250
"'began',",249
"'iraq',",249
"'embassi',",248
"'labor',",248
"'either',",248
"'oppon',",247
"'indic',",247
"'mulvaney',",247
"'steel',",246
"'expir',",246
"'saudi',",246
"'pruitt',",246
"'undermin',",245
"'ceil',",245
"'sure',",245
"'origin',",244
"'recommend',",244
"'rang',",244
"'kremlin',",243
"'resolv',",243
"'sector',",243
"'near',",242
"'save',",241
"'deport',",241
"'nune',",241
"'relief',",241
"'ever',",241
"'extend',",241
"'consult',",240
"'pelosi',",240
"'procedur',",240
"'nov',",240
"'feel',",240
"'profit',",239
"'understand',",239
"'harm',",239
"'socal',",238
"'signatur',",238
"'kim',",238
"'perman',",237
"'identifi',",237
"'man',",237
"'battl',",236
"['senat',",236
"'fill',",236
"'promot',",236
"'asset',",236
"'establish',",235
"'failur',",235
"'pact',",235
"'readi',",235
"'religi',",234
"'maintain',",234
"'valu',",234
"'histori',",233
"'deadlin',",233
"'necessari',",233
"'fear',",233
"'pull',",232
"'present',",231
"'fix',",231
"'steve',",230
"'host',",230
"'temporari',",230
"'contribut',",230
"'seriou',",230
"'terror',",228
"'thought',",228
"'bradi',",227
"'kind',",227
"'hospit',",227
"'exempt',",227
"'resid',",227
"'car',",227
"'resourc',",227
"'pursu',",226
"'divis',",226
"'reelect',",225
"'anyth',",224
"'vladimir',",224
"'fulli',",224
"'assess',",223
"'dec',",223
"'signal',",223
"'consider',",222
"'obtain',",222
"'circuit',",221
"'custom',",221
"'young',",220
"'tough',",220
"'doubt',",220
"'half',",220
"'struggl',",220
"'acknowledg',",220
"'surveil',",220
"'connect',",219
"'collect',",219
"'wide',",219
"'passag',",218
"'revis',",218
"'land',",218
"'longer',",218
"'bob',",217
"'octob',",217
"'solut',",217
"'oversight',",217
"'compli',",217
"'prompt',",216
"'unlik',",216
"'veto',",216
"'wealthi',",215
"'arriv',",215
"'word',",215
"'professor',",215
"'night',",215
"'newspap',",215
"'men',",214
"'publish',",214
"'eight',",214
"'particip',",214
"'poor',",213
"'asia',",213
"'slash',",212
"'lack',",212
"'third',",212
"'oct',",212
"'ohio',",212
"'floor',",212
"'legislatur',",212
"'drive',",211
"'harvey',",211
"'transit',",211
"'spent',",211
"'broad',",210
"'seem',",210
"'david',",209
"'emiss',",209
"'especi',",208
"'liber',",208
"'sell',",208
"'encourag',",208
"'student',",207
"'germani',",207
"'premium',",207
"'popular',",206
"'predecessor',",206
"'fall',",206
"'mention',",206
"'adopt',",206
"'turkey',",206
"'bond',",205
"'went',",205
"'figur',",205
"'primari',",204
"'seri',",204
"'harass',",203
"'kevin',",202
"'owner',",202
"'educ',",202
"'aggress',",202
"'natur',",202
"'directli',",201
"'permit',",201
"'cast',",201
"'onlin',",201
"'applic',",201
"'fcc',",201
"'guilti',",201
"'arrest',",200
"'gun',",200
"'bid',",199
"'actual',",199
"'unclear',",199
"'hawaii',",199
"'lift',",199
"'content',",198
"'allianc',",198
"'morn',",198
"'abort',",198
"'oversea',",198
"'europ',",198
"'loss',",197
"'almost',",197
"'mayor',",197
"'johnson',",196
"'veteran',",196
"'stabil',",196
"'expans',",195
"'minor',",195
"'revers',",195
"'watch',",195
"'choic',",194
"'disclosur',",194
"'conclud',",194
"'water',",194
"'bad',",194
"'declar',",194
"'disast',",194
"'correct',",193
"'sarah',",192
"'ultim',",192
"'hill',",192
"'condemn',",192
"'misconduct',",192
"'realdonaldtrump',",191
"'activist',",191
"'nbc',",191
"'avail',",191
"'lie',",191
"'britain',",191
"'ceo',",191
"'mexican',",190
"'probabl',",190
"'hundr',",190
"'w',",190
"'player',",190
"'airlin',",190
"'divid',",189
"'reflect',",189
"'invit',",189
"'fair',",189
"'assad',",189
"'class',",188
"'fraud',",188
"'rosenstein',",187
"'page',",187
"'graham',",187
"'west',",187
"'contract',",187
"'clean',",187
"'write',",186
"'ship',",185
"'competit',",185
"'scott',",185
"'loan',",185
"'sanctuari',",185
"'surpris',",184
"'regard',",184
"'overse',",184
"'cours',",184
"'arabia',",184
"'halt',",184
"'weekend',",184
"'construct',",183
"'path',",183
"'strategist',",183
"'suppli',",183
"'will',",183
"'entiti',",183
"'pakistan',",183
"'abus',",182
"'entir',",182
"'trust',",182
"'singl',",182
"'yellen',",182
"'basi',",181
"'classifi',",181
"'site',",181
"'coalit',",180
"'rank',",180
"'mr',",180
"'bilater',",180
"'kislyak',",180
"'argument',",180
"'sweep',",179
"'danger',",179
"'mission',",179
"'tom',",179
"'schiff',",179
"'anyon',",179
"'flight',",179
"'death',",178
"'section',",178
"'friend',",178
"'particularli',",178
"'rival',",178
"'beyond',",178
"'secret',",177
"'fake',",177
"'steven',",177
"'prohibit',",177
"'ongo',",176
"'averag',",176
"'massiv',",176
"'strateg',",176
"'armi',",176
"'selfdriv',",176
"'wife',",175
"'hatch',",175
"'discrimin',",175
"'su',",175
"'convict',",175
"'compromis',",174
"'collud',",174
"'broader',",174
"'gather',",174
"'jare',",173
"'sean',",173
"'frustrat',",173
"'carolina',",173
"'drill',",172
"'fals',",172
"'endors',",171
"'disappoint',",171
"'powel',",171
"'insist',",170
"'game',",170
"'recess',",170
"'balanc',",170
"'materi',",169
"'nonpartisan',",169
"'eu',",169
"'door',",168
"'heard',",168
"'automak',",168
"'extrem',",168
"'restor',",168
"'frequent',",168
"'scaramucci',",168
"['factbox',",167
"'maryland',",167
"'purchas',",167
"'pension',",167
"'territori',",167
"'privaci',",167
"'treatment',",166
"'arizona',",166
"'sergei',",166
"'lavrov',",166
"'monument',",165
"'written',",165
"'settlement',",165
"'weigh',",165
"'wait',",165
"'warner',",164
"'room',",164
"'simpli',",164
"'liberti',",164
"'francisco',",164
"'child',",163
"'client',",163
"'deep',",163
"'jim',",163
"'verifi',",162
"'prison',",162
"'nanci',",161
"'hotel',",161
"'exampl',",161
"'summer',",161
"'earn',",160
"'altern',",160
"'alway',",160
"'terrorist',",160
"'compar',",160
"'trigger',",160
"'agricultur',",159
"'sometim',",159
"'behalf',",159
"'bomb',",159
"'franken',",159
"'borrow',",157
"'food',",157
"'transport',",157
"'congressman',",157
"'indict',",157
"'politico',",157
"'republicancontrol',",156
"'highli',",156
"'life',",156
"'electr',",156
"'complic',",156
"'track',",156
"'road',",156
"'plant',",156
"'contain',",155
"'depend',",155
"'british',",155
"'languag',",155
"'watchdog',",155
"'intent',",155
"'plead',",155
"'currenc',",155
"'palestinian',",155
"'stage',",154
"'multipl',",154
"'reduct',",154
"'safe',",154
"'train',",154
"'western',",154
"'colleagu',",154
"'eas',",154
"'prospect',",154
"'renegoti',",154
"['hous',",154
"['republican',",153
"'analysi',",153
"'honor',",153
"'troubl',",153
"'draw',",153
"'soninlaw',",152
"'sea',",152
"'ballist',",152
"'mine',",151
"'quit',",151
"'victim',",151
"'tougher',",151
"'examin',",150
"'die',",150
"'german',",150
"'obamaera',",150
"'tv',",150
"'wrong',",149
"'kennedi',",149
"'prosecut',",149
"'pai',",149
"'unless',",149
"'net',",148
"'pose',",148
"'wisconsin',",148
"'sentenc',",148
"'aircraft',",148
"'common',",147
"'cancel',",147
"'proceed',",147
"'thank',",147
"'interior',",147
"'anthem',",147
"'dismantl',",147
"'green',",147
"'unabl',",146
"'interf',",146
"'worth',",146
"'histor',",146
"'saw',",146
"'deploy',",146
"'quot',",146
"'fee',",146
"'passthrough',",145
"'franc',",145
"'retali',",145
"'narrow',",145
"'reviv',",145
"'black',",145
"'recus',",145
"'suspect',",145
"'dinner',",144
"'advertis',",144
"['white',",144
"'turkish',",144
"'environ',",144
"'meant',",143
"'roy',",143
"'command',",143
"'priebu',",143
"'dialogu',",143
"'gate',",143
"'trial',",143
"'termin',",143
"'strongli',",143
"'slow',",142
"'preserv',",142
"'tool',",142
"'mcmaster',",142
"'drew',",141
"'certainli',",141
"'incid',",141
"'jinp',",141
"'attent',",141
"'read',",141
"'grassley',",141
"'asid',",141
"'eventu',",141
"'stanc',",141
"'video',",140
"'overal',",140
"'complaint',",140
"'fine',",140
"'london',",140
"'filibust',",140
"'tradit',",140
"'typic',",139
"'susan',",139
"'outcom',",139
"'partnership',",138
"'mortgag',",138
"'partisan',",138
"'complain',",138
"'shut',",138
"'muslimmajor',",138
"'mostli',",138
"'iranian',",138
"'counter',",138
"'field',",138
"'per',",138
"'articl',",138
"'shoot',",138
"'charter',",138
"'cbo',",138
"'love',",137
"'tank',",137
"'burr',",137
"'variou',",137
"'career',",137
"'combat',",137
"'woman',",137
"'arab',",137
"'chri',",137
"'father',",137
"'vietnam',",137
"'brussel',",137
"'gari',",136
"'wage',",136
"'yemen',",136
"'partial',",136
"'zink',",136
"'cuban',",136
"'burden',",136
"'politician',",136
"'waiver',",136
"'coupl',",135
"'chao',",135
"'sit',",135
"'experi',",135
"'carbon',",135
"'apolog',",135
"'transpar',",135
"'flake',",135
"'inquiri',",134
"'essenti',",134
"'submit',",134
"'rhetor',",134
"'christi',",134
"'perform',",134
"'charlottesvil',",134
"'learn',",134
"'increasingli',",133
"'round',",133
"'rein',",133
"'ran',",133
"'curb',",133
"'capabl',",133
"'journal',",133
"'isra',",133
"'dh',",133
"'outlin',",132
"'duti',",132
"'rubio',",132
"'rauner',",132
"'regim',",131
"'advocaci',",131
"'airport',",131
"'facil',",131
"'spi',",131
"'assert',",131
"'uncertainti',",131
"'strengthen',",131
"'plane',",130
"'advantag',",130
"'obstruct',",130
"'absolut',",130
"'demonstr',",130
"'coordin',",130
"'sens',",130
"'warren',",130
"'canadian',",130
"'biofuel',",130
"'tower',",129
"'strang',",129
"'count',",129
"'commission',",129
"'sec',",129
"'insid',",128
"'neutral',",128
"'cabinet',",128
"'search',",128
"'assault',",128
"'comprehens',",127
"'explain',",127
"'popul',",127
"'litig',",127
"'simpl',",127
"'nine',",127
"'adam',",127
"'someon',",127
"'kentucki',",127
"'commerci',",127
"'brown',",127
"'cordray',",127
"'rare',",126
"'doddfrank',",126
"'personnel',",126
"'shot',",126
"'conyer',",126
"'pipelin',",126
"'punish',",126
"'modern',",126
"'foundat',",125
"'inaugur',",125
"'rescind',",125
"'shortterm',",125
"'iraqi',",125
"'check',",125
"'credibl',",125
"'equip',",125
"'taiwan',",125
"'prior',",124
"'suspend',",124
"'refin',",124
"'georgia',",124
"'true',",124
"'al',",124
"'highest',",124
"'tehran',",124
"'town',",124
"'repeat',",124
"'jerusalem',",124
"'knowledg',",123
"'easier',",123
"'consensu',",123
"'licens',",123
"'extens',",123
"'inspector',",123
"'opioid',",122
"'book',",122
"'joe',",122
"'venezuela',",122
"'greater',",122
"'lee',",122
"'highlight',",122
"'particular',",122
"'est',",122
"'text',",122
"'cruz',",122
"'scrap',",121
"'sensit',",121
"'scrutini',",121
"'wit',",121
"'doubl',",121
"'minimum',",121
"'auto',",121
"'reveal',",121
"'destroy',",121
"'everyon',",121
"'front',",121
"'suffer',",121
"'tabl',",121
"'cornyn',",121
"'bodi',",120
"'resist',",120
"'aug',",120
"'pennsylvania',",120
"'civilian',",120
"'traffic',",120
"'own',",120
"'daili',",120
"'tariff',",120
"'treat',",120
"'papadopoulo',",120
"'skeptic',",119
"'integr',",119
"'flood',",119
"'retain',",119
"'substanti',",119
"'promin',",119
"'longterm',",119
"'anger',",119
"'frank',",119
"'ron',",118
"'escal',",118
"'rest',",118
"'felt',",118
"'lowincom',",118
"'predict',",118
"'guidanc',",118
"'donat',",118
"'kasperski',",118
"'collaps',",117
"'michigan',",117
"'departur',",117
"'shown',",117
"'penalti',",117
"'oblig',",117
"'awar',",117
"'defer',",116
"'behavior',",116
"'equal',",116
"'conclus',",116
"'reli',",116
"'assur',",115
"'cia',",115
"'radio',",115
"'afghan',",115
"'india',",115
"'republicanl',",114
"'craft',",114
"'neighbor',",114
"'ignor',",114
"'piec',",114
"'channel',",114
"'abandon',",114
"'shortli',",114
"'weaken',",114
"'broadcast',",114
"'paper',",114
"'vulner',",113
"'settl',",113
"'larger',",113
"'navi',",113
"'judici',",113
"'vet',",113
"'abroad',",113
"'mobil',",113
"'specul',",112
"'william',",112
"'drawn',",112
"'station',",112
"'googl',",112
"'iowa',",112
"'prove',",112
"'temporarili',",112
"'crowd',",112
"'rebuild',",112
"'parent',",112
"'accuraci',",111
"'economist',",111
"'pacif',",111
"'goe',",111
"'diplomaci',",111
"'japanes',",111
"'except',",111
"'platform',",111
"'consequ',",111
"'distract',",111
"'gulf',",111
"'scienc',",110
"'southern',",110
"'abc',",110
"'guarante',",110
"'murkowski',",110
