Word,Frequency_fake,Frequency_real
"'futur',",404,510
"'humili',",404,17
"'kid',",403,53
"'level',",403,513
"'deni',",402,1069
"'violat',",401,515
"'terrorist',",401,160
"'disgust',",401,19
"'ye',",399,101
"'fals',",396,172
"'rais',",396,1001
"'secret',",396,177
"'spent',",396,211
"'chief',",394,1173
"'hour',",394,315
"'sunday',",392,637
"'associ',",392,807
"'rememb',",391,51
"'document',",390,658
"'phone',",388,290
"'short',",388,350
"'fan',",388,38
"'process',",387,770
"'david',",387,209
"'bush',",387,292
"'barack',",386,932
"'hurt',",384,252
"'old',",383,101
"'minor',",383,195
"'son',",382,283
"'resign',",382,508
"'address',",381,638
"'sound',",381,75
"'intern',",381,861
"'liber',",381,208
"'hit',",380,333
"'facebook',",379,379
"'basic',",379,101
"'educ',",378,202
"'girl',",377,63
"'access',",377,418
"'shoot',",377,138
"'sent',",376,402
"'celebr',",376,96
"'paid',",376,280
"'child',",375,163
"'desper',",374,40
"'potu',",374,102
"'chanc',",372,264
"'student',",371,207
"'nazi',",371,32
"'border',",371,661
"'joke',",371,49
"'worst',",370,66
"'togeth',",370,354
"'coverag',",370,332
"'massiv',",370,176
"'mueller',",370,832
"'race',",369,434
"'fraud',",368,188
"'file',",368,724
"'knew',",368,100
"'effect',",368,678
"'presidentelect',",367,45
"'legisl',",366,2671
"'perhap',",366,106
"'terror',",364,228
"'florida',",364,348
"'network',",364,276
"'book',",364,122
"'damn',",364,6
"'china',",364,1652
"'crimin',",363,353
"'confer',",363,563
"'block',",362,709
"'street',",362,393
"'heard',",359,168
"'worri',",359,308
"'nearli',",359,453
"'latest',",358,395
"'suprem',",358,716
"'within',",357,374
"'kellyann',",357,22
"'tape',",356,77
"'wednesday',",354,1941
"'immedi',",353,709
"'shut',",353,138
"'daili',",353,120
"'fear',",352,233
"'insist',",352,170
"'rightw',",351,44
"'vladimir',",351,224
"'nuclear',",351,1064
"'pull',",351,232
"'held',",351,465
"'write',",350,186
"'murder',",350,62
"'throw',",349,76
"'attend',",349,345
"'stay',",348,359
"'bigot',",348,8
"'requir',",348,1237
"'jeff',",348,314
"'remain',",348,745
"'mock',",347,19
"'check',",346,125
"'direct',",346,467
"'exampl',",345,161
"'mention',",345,206
"'flag',",345,75
"'internet',",344,311
"'governor',",344,1004
"'colleg',",343,110
"'jone',",343,269
"'oper',",343,621
"'convers',",342,421
"'racism',",341,31
"'extrem',",341,168
"'front',",340,121
"'request',",339,1171
"'favor',",339,519
"'sort',",339,73
"'express',",338,551
"'declar',",337,194
"'dollar',",337,413
"'strong',",337,361
"'gone',",337,71
"'daughter',",337,97
"'georg',",336,292
"'ridicul',",336,42
"'shot',",336,126
"'texa',",335,583
"'longer',",335,218
"'specif',",334,292
"'air',",334,592
"'water',",333,194
"'drew',",331,141
"'scott',",331,185
"'bit',",331,102
"'hire',",331,278
"'trust',",330,182
"'christian',",328,103
"'kushner',",328,470
"'handl',",328,281
"'alli',",327,701
"'prais',",326,269
"'suppos',",324,54
"'prevent',",323,438
"'aid',",323,1258
"'happi',",322,85
"'travel',",322,1062
"'forward',",322,442
"'wife',",321,175
"'saw',",321,146
"'describ',",320,361
"'natur',",320,202
"'relationship',",320,483
"'korea',",319,1766
"'half',",319,220
"'earli',",318,558
"'caught',",318,67
"'situat',",318,256
"'larg',",317,558
"'individu',",317,788
"'oppos',",317,679
"'amend',",316,350
"'billion',",316,1463
"'moor',",316,599
"'earlier',",313,1008
"'damag',",312,296
"'biggest',",312,288
"'god',",311,36
"'remind',",310,42
"'rape',",310,20
"'worker',",310,417
"'exist',",309,310
"'huge',",309,103
"'articl',",308,138
"'compar',",308,160
"'buy',",307,305
"'attent',",307,141
"'condemn',",307,192
"'center',",306,489
"'endors',",306,171
"'sander',",306,350
"'young',",305,220
"'becam',",304,262
"'author',",304,812
"'listen',",303,90
"'outrag',",303,73
"'senior',",303,1070
"'low',",302,276
"'foundat',",302,125
"'due',",302,436
"'weekend',",302,184
"'benefit',",301,539
"'cia',",301,115
"'directli',",300,201
"'often',",300,286
"'televis',",300,252
"'donat',",300,118
"'role',",299,596
"'whatev',",299,64
"'breitbart',",299,46
"'choic',",299,194
"'enemi',",298,52
"'middl',",298,336
"'outsid',",298,363
"'relat',",298,904
"'valu',",297,234
"'laugh',",297,22
"'reach',",297,567
"'perform',",296,134
"'price',",296,523
"'oh',",296,14
"'activ',",296,428
"'soon',",295,397
"'decad',",295,451
"'walk',",294,80
"'bulli',",294,36
"'lack',",293,212
"'deserv',",291,66
"'thousand',",291,252
"'congression',",291,1384
"'chri',",290,137
"'lawsuit',",290,404
"'websit',",290,280
"'journalist',",290,92
"'miss',",289,106
"'promot',",289,236
"'kelli',",289,294
"'econom',",289,1033
"'robert',",288,514
"'truli',",287,39
"'safe',",287,154
"'democraci',",287,95
"'nbc',",287,191
"'budget',",287,1694
"'form',",286,339
"'terribl',",286,48
"'late',",286,475
"'financi',",286,1092
"'figur',",286,205
"'mcconnel',",286,727
"'fair',",285,189
"'five',",285,401
"'brought',",284,294
"'cooper',",284,523
"'quickli',",284,261
"'opinion',",283,288
"'spoke',",283,321
"'cabinet',",283,128
"'page',",283,187
"'contact',",282,478
"'prepar',",281,355
"'economi',",281,532
"'suffer',",280,121
"'piec',",280,114
"'sens',",279,130
"'potenti',",279,731
"'equal',",279,116
"'fit',",278,48
"'demonstr',",278,130
"'arrest',",277,200
"'troubl',",276,153
"'poor',",276,213
"'melania',",276,61
"'sick',",276,66
"'certain',",275,312
"'rant',",274,8
"'corrupt',",274,104
"'present',",274,231
"'pictur',",273,47
"'ladi',",273,40
"'incid',",272,141
"'sad',",272,35
"'except',",271,111
"'w',",271,190
"'whose',",270,355
"'publish',",270,214
"'excus',",269,37
"'connect',",269,219
"'realiz',",268,60
"'minut',",268,98
"'obstruct',",268,130
"'carri',",267,346
"'freedom',",267,329
"'victori',",266,374
"'deliv',",266,308
"'blast',",266,74
"'inde',",266,22
"'interfer',",265,398
"'argu',",265,532
"'pleas',",265,83
"'mental',",264,57
"'tower',",263,129
"'dictat',",263,34
"'grab',",262,44
"'complain',",262,138
"'dc',",262,74
"'agent',",262,276
"'increas',",262,969
"'imagin',",261,31
"'boy',",261,49
"'africanamerican',",261,34
"'conflict',",259,367
"'johnson',",258,196
"'unfortun',",258,44
"'normal',",258,106
"'success',",258,287
"'amount',",258,273
"'particularli',",257,178
"'correct',",257,193
"'hypocrit',",257,7
"'grow',",257,302
"'harass',",257,203
"'join',",256,424
"'class',",256,188
"'will',",256,183
"'nobodi',",255,60
"'addit',",255,538
"'influenc',",255,416
"'voic',",254,252
"'agenda',",254,435
"'mistak',",254,72
"'nice',",254,26
"'husband',",254,82
"'seat',",254,427
"'doubt',",254,220
"'proof',",253,52
"'small',",252,332
"'offens',",252,69
"'six',",251,510
"'lawmak',",251,1880
"'beyond',",251,178
"'game',",251,170
"'heart',",250,102
"'insid',",250,128
"'usual',",250,87
"'eye',",250,108
"'met',",250,522
"'rich',",250,97
"'msnbc',",249,83
"'quot',",249,146
"'counsel',",249,788
"'brutal',",248,23
"'roll',",248,262
"'shock',",248,42
"'avoid',",248,352
"'appoint',",247,480
"'horribl',",246,26
"'leadership',",246,331
"'opposit',",246,444
"'fall',",245,206
"'eight',",245,214
"'credit',",245,501
"'incom',",244,594
"'liar',",244,8
"'propos',",244,1761
"'weapon',",244,448
"'hotel',",244,161
"'multipl',",243,154
"'perfect',",243,26
"'sen',",243,24
"'district',",242,643
"'mother',",242,60
"'opportun',",242,257
"'church',",242,106
"'color',",242,26
"'shame',",241,24
"'wish',",241,99
"'obvious',",240,78
"'crazi',",240,25
"'theori',",240,28
"'abus',",240,182
"'nune',",240,241
"'near',",239,242
"'somehow',",239,11
"'light',",239,107
"'tv',",239,150
"'sex',",238,79
"'taxpay',",238,263
"'eric',",237,105
"'movement',",237,100
"'user',",237,76
"'bank',",237,1125
"'honor',",237,153
"'burn',",237,48
"'launch',",237,359
"'intent',",236,155
"'local',",235,646
"'rise',",235,255
"'enter',",235,315
"'medic',",235,288
"'alon',",234,96
"'propaganda',",234,77
"'slam',",234,63
"'somebodi',",234,53
"'fill',",234,236
"'focu',",233,347
"'red',",233,92
"'reilli',",233,6
"'counti',",232,281
"'audienc',",232,63
"'nomin',",232,601
"'dead',",231,71
"'carolina',",231,173
"'disast',",231,194
"'town',",230,124
"'angri',",230,48
"'upon',",230,76
"'deplor',",229,11
"'openli',",229,55
"'disgrac',",229,26
"'institut',",228,340
"'independ',",228,483
"'virginia',",228,444
"'site',",227,181
"'refuge',",227,554
"'transit',",226,211
"'veteran',",226,196
"'coupl',",226,135
"'convinc',",226,102
"'practic',",225,302
"'broke',",225,69
"'sanction',",225,1313
"'experi',",225,135
"'na',",224,11
"'sarah',",224,192
"'enforc',",223,634
"'seek',",223,1027
"'vice',",223,518
"'obviou',",222,20
"'area',",222,438
"'kick',",221,64
"'discrimin',",221,175
"'intend',",221,346
"'abort',",221,198
"'fun',",221,12
"'ceo',",221,191
"'wiretap',",221,79
"'publicli',",220,277
"'unlik',",220,216
"'notic',",220,87
"'conduct',",220,435
"'board',",219,342
"'subject',",219,257
"'trip',",219,440
"'market',",219,1003
"'zero',",219,40
"'spencer',",218,20
"'none',",218,71
"'origin',",217,244
"'fine',",217,140
"'prison',",217,162
"'meant',",217,143
"'sell',",217,208
"'throughout',",217,84
"'speaker',",216,477
"'cast',",216,201
"'hurrican',",216,292
"'priebu',",216,143
"'staffer',",215,98
"'ran',",215,133
"'standard',",214,338
"'california',",214,485
"'altright',",213,11
"'drug',",212,280
"'violent',",212,87
"'andrew',",212,110
"'oppon',",211,247
"'rig',",211,26
"'rhetor',",211,134
"'resist',",211,120
"'incred',",211,52
"'captur',",211,53
"'arm',",211,345
"'stage',",211,154
"'racial',",211,70
"'develop',",211,658
"'awar',",211,117
"'land',",210,218
"'green',",209,147
"'wit',",209,121
"'stephen',",209,98
"'south',",209,604
"'richard',",209,264
"'mayor',",209,197
"'okay',",208,18
"'pretend',",208,10
"'nationalist',",208,103
"'beat',",208,62
"'parent',",207,112
"'wear',",207,43
"'minist',",207,784
"'abc',",207,110
"'abil',",207,290
"'giuliani',",207,26
"'warren',",207,130
"'fix',",206,231
"'readi',",206,235
"'chairman',",205,1001
"'troll',",205,26
"'west',",205,187
"'initi',",205,486
"'rip',",204,18
"'progress',",204,319
"'product',",204,502
"'ethic',",204,256
"'hide',",203,39
"'forget',",203,18
"'manafort',",203,575
"'collus',",203,591
"'regul',",203,996
"'risk',",202,409
"'idiot',",202,11
"'beauti',",202,42
"'isi',",201,47
"'studi',",201,295
"'terrifi',",201,6
"'gain',",200,345
"'choos',",200,100
"'mouth',",200,12
"'assum',",200,96
"'led',",200,384
"'yesterday',",199,53
"'divis',",199,226
"'previous',",199,349
"'bomb',",199,159
"'simpl',",199,127
"'vacat',",199,69
"'ground',",198,283
"'perfectli',",198,12
"'condit',",198,484
"'peac',",198,339
"'punish',",198,126
"'engag',",198,265
"'sorri',",198,23
"'graham',",198,187
"'anybodi',",197,57
"'expos',",197,67
"'william',",197,112
"'challeng',",197,774
"'hall',",197,68
"'reject',",197,335
"'anger',",196,119
"'fellow',",196,415
"'easi',",196,58
"'amaz',",196,21
"'politician',",196,136
"'hill',",195,192
"'expert',",195,478
"'stuff',",195,30
"'controversi',",194,255
"'oval',",194,87
"'wage',",193,136
"'age',",193,93
"'exchang',",193,356
"'review',",193,1099
"'focus',",193,349
"'lewi',",192,31
"'paper',",191,114
"'michel',",191,25
"'guess',",191,20
"'indic',",191,247
"'apart',",191,65
"'folk',",189,37
"'doubl',",189,121
"'research',",189,305
"'worth',",189,146
"'blow',",189,110
"'agreement',",189,1001
"'segment',",189,15
"'hitler',",188,18
"'panel',",188,936
"'spread',",187,85
"'failur',",187,235
"'union',",187,417
"'reportedli',",187,24
"'classifi',",186,181
"'histor',",186,146
"'chicago',",186,294
"'ted',",186,90
"'neg',",185,104
"'gotten',",185,34
"'affect',",185,357
"'jail',",185,82
"'main',",184,343
"'food',",184,157
"'council',",184,510
"'harm',",184,239
"'nixon',",184,25
"'jare',",183,173
"'resid',",183,227
"'patriot',",182,29
"'repeat',",182,124
"'felt',",182,118
"'justin',",182,55
"'recount',",182,36
"'data',",182,456
"'socal',",181,238
"'straight',",181,56
"'design',",181,288
"'charlottesvil',",181,134
"'disrespect',",181,33
"'mexican',",180,190
"'bigotri',",180,33
"'loss',",180,197
"'key',",179,481
"'mess',",179,31
"'chao',",179,135
"'park',",179,68
"'kept',",179,90
"'congressman',",179,157
"'alabama',",179,372
"'israel',",178,269
"'threw',",178,40
"'magazin',",178,41
"'guilti',",178,201
"'similar',",178,331
"'credibl',",178,125
"'ambassador',",177,475
"'repli',",177,93
"'disabl',",177,100
"'babi',",177,13
"'determin',",177,343
"'corpor',",177,927
"'grant',",176,332
"'outlet',",175,78
"'consequ',",175,111
"'limit',",175,797
"'religi',",175,234
"'although',",175,342
"'bodi',",175,120
"'orang',",174,12
"'biden',",174,24
"'strip',",174,38
"'particular',",173,122
"'primari',",173,204
"'medicaid',",173,451
"'car',",173,227
"'deep',",173,163
"'hero',",173,26
"'written',",173,165
"'industri',",173,913
"'hundr',",172,190
"'syria',",172,673
"'incompet',",172,9
"'gay',",172,109
"'third',",172,212
"'career',",172,137
"'mass',",171,74
"'invit',",171,189
"'otherwis',",171,103
"'retweet',",171,47
"'billionair',",171,71
"'global',",171,531
"'anyway',",171,19
"'project',",171,567
"'testimoni',",171,314
"'scream',",171,8
"'invest',",171,652
"'boss',",170,37
"'dare',",170,8
"'tough',",170,220
"'memo',",169,277
"'innoc',",169,38
"'p',",169,88
"'trade',",169,1917
"'femal',",169,26
"'collect',",169,219
"'cruz',",169,122
"'afraid',",169,24
"'predict',",169,118
"'confid',",168,332
"'count',",168,129
"'delet',",168,43
"'advisor',",168,67
"'therefor',",167,41
"'everybodi',",167,60
"'anymor',",167,18
"'version',",167,453
"'screw',",167,14
"'clean',",167,187
"'nato',",167,327
"'lash',",166,45
"'kiss',",166,27
"'prime',",166,315
"'lower',",166,549
"'disagre',",166,77
"'constitu',",166,65
"'smart',",166,25
"'antisemit',",166,22
"'defeat',",165,279
"'door',",165,168
"'unless',",165,149
"'testifi',",165,367
"'favorit',",165,35
"'born',",164,44
"'doctor',",164,73
"'pari',",164,421
"'chuck',",164,262
"'rid',",164,50
"'devo',",164,48
"'politico',",163,157
"'trash',",163,6
"'funni',",163,14
"'conclud',",163,194
"'platform',",162,111
"'complaint',",162,140
"'moral',",162,74
"'disturb',",162,35
"'highli',",162,156
"'ten',",162,103
"'reid',",162,6
"'vet',",162,113
"'test',",162,454
"'dog',",162,78
"'fool',",162,10
"'devast',",162,95
"'surround',",162,53
"'shown',",161,117
"'acknowledg',",161,220
"'numer',",161,87
"'diplomat',",161,691
"'encourag',",161,208
"'wast',",160,108
"'unpreced',",160,71
"'player',",160,190
"'brand',",160,71
"'miller',",160,81
"'mere',",159,40
"'employ',",159,281
"'bar',",158,317
"'reaction',",158,96
"'camera',",158,33
"'hollywood',",158,36
"'own',",158,120
"'recogn',",158,107
"'pressur',",158,532
"'ensur',",158,343
"'nfl',",158,100
"'birth',",158,74
"'swamp',",158,32
"'ahead',",157,439
"'adult',",157,109
"'scare',",157,21
"'date',",157,280
"'cite',",157,592
"'allegedli',",157,34
"'prior',",157,124
"'jewish',",157,44
"'proceed',",157,147
"'sometim',",157,159
"'argument',",157,180
"'emerg',",156,384
"'higher',",156,305
"'common',",156,147
"'difficult',",156,252
"'type',",156,105
